date,"Net productivity output per hour","Total compensation per hour"
1948-01-01,100,100
1948-04-01,101.21395710790092,100.75097564555549
1948-07-01,100.76385894365724,100.84057385234036
1948-10-01,102.72504384429068,103.08779657109147
1949-01-01,102.19413811944489,105.37368939372725
1949-04-01,101.33196800516546,106.62293886118444
1949-07-01,104.74789457887704,109.02966258464176
1949-10-01,104.73628547086216,110.3143886800077
1950-01-01,108.872155308683,111.81445281746603
1950-04-01,110.12928091380006,112.38423163320708
1950-07-01,112.14188512840197,111.66837478279623
1950-10-01,112.86237052383947,112.1040240017954
1951-01-01,111.52776174120967,110.15571185313362
1951-04-01,111.58379358508952,111.1914964463638
1951-07-01,114.36509511900022,113.49124524120008
1951-10-01,114.25757568348676,113.7394597598202
1952-01-01,114.30733808295564,114.35721373460514
1952-04-01,114.9463842947767,115.77647396590235
1952-07-01,115.27207557473074,115.7935852386612
1952-10-01,117.49156013569488,117.32861529295884
1953-01-01,119.9367518464225,119.64082892865208
1953-04-01,120.4502592088838,120.63105637141176
1953-07-01,120.1973162568065,121.77651617239928
1953-10-01,119.66331995145345,122.62072245425232
1954-01-01,120.27650778721706,123.66088866432598
1954-04-01,121.75086150990296,124.4510124993322
1954-07-01,123.69363325139182,125.28672715341575
1954-10-01,126.7871041748433,127.78721843262998
1955-01-01,128.81504455287322,128.4303538861827
1955-04-01,131.2288584298956,130.22808058470835
1955-07-01,131.3382346851263,130.6381615945732
1955-10-01,131.79618645136608,132.3079025998474
1956-01-01,132.4245252538091,134.1783417964466
1956-04-01,132.27598409292085,134.46198715837227
1956-07-01,132.32396296188492,134.84074105239532
1956-10-01,134.33390792152974,135.82113085089426
1957-01-01,135.8577405850478,136.41060689993708
1957-04-01,136.0342023736544,137.53612568205693
1957-07-01,136.36243498783998,137.8723411590036
1957-10-01,136.54462729098034,138.4981998157744
1958-01-01,135.0019557923825,137.53666327579066
1958-04-01,136.2693552195122,137.98766672489197
1958-07-01,139.6113565118473,138.79773480391492
1958-10-01,141.85666629348214,140.0429476035281
1959-01-01,143.43379463975256,141.98330606527216
1959-04-01,144.2149268342315,142.98741471478286
1959-07-01,144.51529558228756,142.83262599421323
1959-10-01,144.4680624270442,143.32915195078365
1960-01-01,148.03672331768917,144.33333735035978
